index,S:all,E:all,I:all,beta:all,v:all,k:all,vol:all,rep:all,phi:all,log_like
110,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
111,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
112,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
113,0.556096,7.67684e-05,7.95181e-05,1.73165,1.13987,1.59328,0.370887,0.1,0.1,-132.891
114,0.551314,1.18554e-05,0.000128303,1.54354,1.18566,1.56049,0.367921,0.1,0.1,-133.176
115,0.551314,1.18554e-05,0.000128303,1.54354,1.18566,1.56049,0.367921,0.1,0.1,-133.176
116,0.551314,1.18554e-05,0.000128303,1.54354,1.18566,1.56049,0.367921,0.1,0.1,-133.176
117,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
118,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
119,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
120,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
121,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
122,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
123,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
124,0.551,1.19482e-05,6.35118e-05,1.3709,1.18382,1.58742,0.35627,0.1,0.1,-134.897
125,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
126,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
127,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
128,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
129,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
130,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
131,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
132,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
133,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
134,0.550795,0.000178889,6.79245e-05,1.45491,1.06656,1.62603,0.35405,0.1,0.1,-138.067
135,0.551518,8.89171e-05,0.000304586,1.28279,1.07108,1.62857,0.537574,0.1,0.1,-139.145
136,0.551518,8.89171e-05,0.000304586,1.28279,1.07108,1.62857,0.537574,0.1,0.1,-139.145
137,0.551518,8.89171e-05,0.000304586,1.28279,1.07108,1.62857,0.537574,0.1,0.1,-139.145
138,0.551518,8.89171e-05,0.000304586,1.28279,1.07108,1.62857,0.537574,0.1,0.1,-139.145
139,0.551518,8.89171e-05,0.000304586,1.28279,1.07108,1.62857,0.537574,0.1,0.1,-139.145
140,0.555947,0.000372391,0.000111407,1.02756,1.0419,1.61978,0.569514,0.1,0.1,-141.15
141,0.555947,0.000372391,0.000111407,1.02756,1.0419,1.61978,0.569514,0.1,0.1,-141.15
142,0.555947,0.000372391,0.000111407,1.02756,1.0419,1.61978,0.569514,0.1,0.1,-141.15
143,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
144,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
145,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
146,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
147,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
148,0.563733,1.33644e-05,3.68433e-05,1.0843,1.06033,1.56695,0.610693,0.1,0.1,-136.872
149,0.558719,7.39499e-06,0.000273201,1.09853,1.18542,1.56645,0.521948,0.1,0.1,-136.106
150,0.558719,7.39499e-06,0.000273201,1.09853,1.18542,1.56645,0.521948,0.1,0.1,-136.106
151,0.558719,7.39499e-06,0.000273201,1.09853,1.18542,1.56645,0.521948,0.1,0.1,-136.106
152,0.558719,7.39499e-06,0.000273201,1.09853,1.18542,1.56645,0.521948,0.1,0.1,-136.106
153,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
154,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
155,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
156,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
157,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
158,0.574752,4.32468e-06,2.19305e-05,1.3193,1.19023,1.57262,0.461608,0.1,0.1,-133.46
159,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
160,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
161,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
162,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
163,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
164,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
165,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
166,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
167,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
168,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
169,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
170,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
171,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
172,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
173,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
174,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
175,0.8026,4.94955e-05,1.77914e-06,0.939482,1.20133,1.561,0.279306,0.1,0.1,-133.583
176,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
177,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
178,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
179,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
180,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
181,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
182,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
183,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
184,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
185,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
186,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
187,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
188,0.571963,0.000113453,2.84764e-06,1.58141,1.15475,1.59561,0.27464,0.1,0.1,-133.022
189,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
190,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
191,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
192,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
193,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
194,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
195,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
196,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
197,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
198,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
199,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
200,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
201,0.55177,4.83545e-05,3.96949e-05,2.03552,1.16374,1.62037,0.394419,0.1,0.1,-132.575
